#observation description
#name
WASP-12b WFC3

#type
band-spectroscopy

#filter transmission function
None

#band boundaries    depth      error
0.838      0.896    14441      69
0.896      0.954    14422      55
0.954      1.012    14402      52
1.012      1.07     14428      51
1.07       1.112    14391      53
1.112      1.182    14386      47
1.182      1.251    14365      45
1.251      1.32     14327      41
1.32       1.389    14582      40
1.389      1.458    14600      43
1.458      1.527    14530      45
1.527      1.597    14475      58
1.597      1.666    14332      55
